Algoritmo,Tamanho,Distribuicao,Tempo (s),Comparacoes,Trocas,Copias,Memoria Extra (bytes),Chamadas recursivas,Profundidade maxima,Operacoes
insertion,15000,aleatorio,0.057000,56191339,56176347,0,0, 0, 956655729840, 0
insertion,30000,aleatorio,0.152000,224819039,224789048,0,0, 0, 76348913712, 0
insertion,45000,aleatorio,0.361000,507330300,507285309,0,0, 0, 467574716224, 0
insertion,60000,aleatorio,0.618000,896713294,896653303,0,0, 0, 1051516204752, 0
insertion,75000,aleatorio,0.969000,1397061733,1396986742,0,0, 0, 1066349360992, 0
insertion,90000,aleatorio,1.547000,2028181088,2028091100,0,0, 0, 399392111280, 0
insertion,105000,aleatorio,1.879000,2749393012,2749288022,0,0, 0, 48897195280, 0
insertion,120000,aleatorio,2.510000,3607550675,3607430686,0,0, 0, 742112886288, 0
insertion,135000,aleatorio,3.301000,4554305968,4554170983,0,0, 0, 994251372224, 0
insertion,150000,aleatorio,3.989000,5634622661,5634472668,0,0, 0, 882877921408, 0
insertion,165000,aleatorio,4.850000,6811654916,6811489925,0,0, 0, 904604417616, 0
insertion,180000,aleatorio,5.850000,8101395908,8101215918,0,0, 0, 605057709936, 0
insertion,195000,aleatorio,6.898000,9513869455,9513674465,0,0, 0, 692871756064, 0
insertion,210000,aleatorio,7.963000,11014397049,11014187057,0,0, 0, 500193818560, 0
insertion,225000,aleatorio,8.731000,12631169829,12630944845,0,0, 0, 292049386304, 0
insertion,240000,aleatorio,9.810000,14381961449,14381721457,0,0, 0, 514519464832, 0
insertion,255000,aleatorio,11.084000,16229356285,16229101299,0,0, 0, 284975691424, 0
insertion,270000,aleatorio,12.455000,18249834945,18249564965,0,0, 0, 679657601936, 0
insertion,285000,aleatorio,13.823000,20307432724,20307147730,0,0, 0, 1069627209536, 0
insertion,300000,aleatorio,15.296000,22490612902,22490312914,0,0, 0, 14698935984, 0
bubble,15000,aleatorio,0.218000,112438872,56475158,0,0, 0, 480881145840, 169425474
bubble,30000,aleatorio,1.285000,449978330,224751934,0,0, 0, 348041247440, 674255802
bubble,45000,aleatorio,3.082000,1012425497,507867100,0,0, 0, 906548476768, 1523601300
bubble,60000,aleatorio,5.567000,1799943665,901571413,0,0, 0, 206963734960, 2704714239
bubble,75000,aleatorio,8.922000,2812452909,1408428746,0,0, 0, 493317257216, 4225286238
bubble,90000,aleatorio,12.657000,4049915379,2024111759,0,0, 0, 1017791903424, 6072335277
bubble,105000,aleatorio,19.020000,5512418820,2758403705,0,0, 0, 816312220432, 8275211115
bubble,120000,aleatorio,23.486000,7199933214,3598010042,0,0, 0, 365088996688, 10794030126
bubble,135000,aleatorio,29.001000,9112319925,4552072877,0,0, 0, 456533211184, 13656218631
bubble,150000,aleatorio,36.044000,11249913372,5623365192,0,0, 0, 614582975616, 16870095576
bubble,165000,aleatorio,43.731000,13612295235,6824670692,0,0, 0, 762759346240, 20474012076
bubble,180000,aleatorio,52.510000,16199847165,8099730391,0,0, 0, 215954226368, 24299191173
bubble,195000,aleatorio,61.350000,19011808995,9512429139,0,0, 0, 555067898800, 28537287417
bubble,210000,aleatorio,73.990000,22049871995,11041176574,0,0, 0, 36664506432, 33123529722
bubble,225000,aleatorio,112.849000,25312149795,12632272723,0,0, 0, 1080519818736, 37896818169
bubble,240000,aleatorio,96.311000,28799733389,14413829274,0,0, 0, 866237021552, 43241487822
bubble,255000,aleatorio,104.597000,32512351794,16226023793,0,0, 0, 1095348779360, 48678071379
bubble,270000,aleatorio,118.870000,36448901034,18198168530,0,0, 0, 831023740672, 54594505590
bubble,285000,aleatorio,130.852000,40612339164,20303421487,0,0, 0, 741477447520, 60910264461
bubble,300000,aleatorio,143.670000,44999569125,22488108728,0,0, 0, 69566725600, 67464326184
heap,15000000,aleatorio,4.042000,1033410400,344470133,0,0, 329470134, 818778471344, 2111820797
heap,30000000,aleatorio,8.500000,2156812495,718937498,0,0, 688937499, 949080816448, 4403624987
heap,45000000,aleatorio,14.055000,3315813727,1105271242,0,0, 1060271243, 119835458416, 6766627451
heap,60000000,aleatorio,19.966000,4493671753,1497890584,0,0, 1437890585, 77112277360, 9167343503
heap,75000000,aleatorio,24.593000,5688597427,1896199142,0,0, 1821199143, 68539120160, 11602194851
heap,90000000,aleatorio,30.601000,6901610686,2300536895,0,0, 2210536896, 692125169760, 14073221369
heap,105000000,aleatorio,35.958000,8121973504,2707324501,0,0, 2602324502, 759739447312, 16558947005
heap,120000000,aleatorio,41.842000,9347270335,3115756778,0,0, 2995756779, 954912996960, 19054540667
heap,135000000,aleatorio,46.983000,10577071714,3525690571,0,0, 3390690572, 410859339408, 21559143425
heap,150000000,aleatorio,52.944000,11827099864,3942366621,0,0, 3792366622, 144244210000, 24104199725
heap,165000000,aleatorio,58.902000,13082959711,4360986570,0,0, 4195986571, 257121318864, 26660919419
heap,180000000,aleatorio,65.079000,14343162805,4781054268,0,0, 4601054269, 578497280416, 29226325607
heap,195000000,aleatorio,70.927000,15607160086,5202386695,0,0, 5007386696, 604382428688, 31799320169
heap,210000000,aleatorio,77.823000,16874008762,5624669587,0,0, 5414669588, 795405712064, 34378017521
heap,225000000,aleatorio,84.937000,18143153464,6047717821,0,0, 5822717822, 286808603232, 36961306925
heap,240000000,aleatorio,92.170000,19414546426,6471515475,0,0, 6231515476, 927507413728, 39549092849
heap,255000000,aleatorio,97.991000,20687721856,6895907285,0,0, 6640907286, 64512588832, 42140443709
heap,270000000,aleatorio,104.263000,21964105357,7321368452,0,0, 7051368453, 829232774112, 44738210711
heap,285000000,aleatorio,109.297000,23257579783,7752526594,0,0, 7467526595, 552282880576, 47370159563
heap,300000000,aleatorio,117.097000,24554214892,8184738297,0,0, 7884738298, 28210887744, 50008429781
radix,100000000,aleatorio,2.626000,99999999,0,1000000000,400000200, 0, 257098250640, 1500000045
radix,200000000,aleatorio,5.376000,199999999,0,2000000000,800000200, 0, 57627637440, 3000000045
radix,300000000,aleatorio,7.986000,299999999,0,3000000000,1200000200, 0, 957402315792, 4500000045
radix,400000000,aleatorio,10.626000,399999999,0,4000000000,1600000200, 0, 910031846656, 6000000045
radix,500000000,aleatorio,13.087000,499999999,0,5000000000,2000000200, 0, 547446847152, 7500000045
radix,600000000,aleatorio,15.951000,599999999,0,6000000000,2400000200, 0, 247495392528, 9000000045
radix,700000000,aleatorio,18.597000,699999999,0,7000000000,2800000200, 0, 133173344528, 10500000045
radix,800000000,aleatorio,20.909000,799999999,0,8000000000,3200000200, 0, 597501671584, 12000000045
radix,900000000,aleatorio,23.982000,899999999,0,9000000000,3600000200, 0, 692800454240, 13500000045
radix,1000000000,aleatorio,26.164000,999999999,0,10000000000,4000000200, 0, 170928372960, 15000000045
radix,1100000000,aleatorio,29.387000,1099999999,0,11000000000,4400000200, 0, 575141836912, 16500000045
radix,1200000000,aleatorio,32.166000,1199999999,0,12000000000,4800000200, 0, 770913073936, 18000000045
radix,1300000000,aleatorio,34.448000,1299999999,0,13000000000,5200000200, 0, 884870217360, 19500000045
radix,1400000000,aleatorio,37.027000,1399999999,0,14000000000,5600000200, 0, 869089146832, 21000000045
radix,1500000000,aleatorio,39.542000,1499999999,0,15000000000,6000000200, 0, 768054656336, 22500000045
radix,1600000000,aleatorio,42.735000,1599999999,0,16000000000,6400000200, 0, 877484047744, 24000000045
radix,1700000000,aleatorio,45.401000,1699999999,0,17000000000,6800000200, 0, 101468601728, 25500000045
radix,1800000000,aleatorio,47.326000,1799999999,0,18000000000,7200000200, 0, 24746391600, 27000000045
radix,1900000000,aleatorio,49.731000,1899999999,0,19000000000,7600000200, 0, 948046921056, 28500000045
radix,2000000000,aleatorio,52.086000,1999999999,0,20000000000,8000000200, 0, 1050979334512, 30000000045
quick,100000000,aleatorio,8.400000,3110403221,920038203,0,940, 199999999, 47, 5870517830
quick,200000000,aleatorio,16.961000,6554080816,1936041639,0,1000, 399999999, 50, 12362205733
quick,300000000,aleatorio,24.881000,9990665162,2985929506,0,980, 599999999, 49, 18948453680
quick,400000000,aleatorio,33.617000,13582068123,4068815828,0,1020, 799999999, 51, 25788515607
quick,500000000,aleatorio,42.274000,17033772752,5170072122,0,1040, 999999999, 52, 32543989118
quick,600000000,aleatorio,50.782000,20129183910,6294625957,0,1000, 1199999999, 50, 39013061781
quick,700000000,aleatorio,59.389000,24431139260,7406894845,0,1060, 1399999999, 53, 46651823795
quick,800000000,aleatorio,67.012000,29284657111,8514003375,0,1100, 1599999999, 55, 54826667236
quick,900000000,aleatorio,74.996000,31200285429,9693650107,0,1040, 1799999999, 52, 60281235750
quick,1000000000,aleatorio,83.133000,35625046958,10791255696,0,1100, 1999999999, 55, 67998814046
quick,1100000000,aleatorio,94.030000,37892124167,12020480767,0,1020, 2199999999, 51, 73953566468
